Date,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Roadwork and Construction Activity,Roadwork_encoded,month,day_of_week,month_sin,month_cos,day_sin,day_cos,is_weekend,Log_Traffic_Volume,is_saturated,weather_Clear,weather_Fog,weather_Overcast,weather_Rain,weather_Windy,Area ID,Road_ID,weather_incident_impact,Volume_Lag_7,Congestion_Lag_7
2022-02-12,Electronic City,Hosur Road,21483,0.7023672416197337,-0.0722966230180966,80.76533316352445,0.4806770174489679,0.3025495800633343,92.966,-1.1140049633438944,0.2738728579173927,1.578459388597882,-0.394815148811994,No,0,2,5,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1,9.97506375102535,0,False,False,False,True,False,0,5,1.16249464042076,9.79406323525484,64.13736889877862
2022-02-13,Electronic City,Hosur Road,29805,-1.106002109791819,0.752807149017749,89.75682163764355,0.4806770174489679,1.71103254304638,109.61,-0.0373732680269151,-1.3086933481186136,1.039464483700158,-0.6121443653999037,No,0,2,6,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,10.302464994508735,0,False,False,True,False,False,0,5,2.849962494026984,9.527702598529377,38.20772836318813
2022-02-14,Electronic City,Hosur Road,18175,-0.0453938930271164,-1.452617589178985,60.05203200521432,-0.0013575577657721,-0.4016919014281884,86.35,-0.2327487113975901,1.1072578902202026,1.39663304965637,-0.775141277840836,Yes,1,2,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0,9.807857321520878,0,True,False,False,False,False,0,5,-0.5249732131854635,8.742893471512136,28.46291133897868
2022-02-17,Electronic City,Hosur Road,17511,-0.2950837951818282,-0.0125946264338346,59.21773120380877,-0.2532593152174155,-1.105933382919711,85.02199999999999,-1.733597939466456,1.0751878750992816,-1.441978135982918,-0.2861505405180392,No,0,2,3,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0,9.7706416392027,0,True,False,False,False,False,0,5,-0.5249732131854635,8.877800393882575,25.214899012265786
2022-02-20,Electronic City,Hosur Road,16413,0.0591955891770346,-1.454567940712589,53.07898994350917,-0.5957411803194017,-1.105933382919711,82.826,-0.7986917928321285,-1.6214465438151904,0.353919780980189,-0.4763136050324602,No,0,2,6,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,9.705889908189658,0,False,False,True,False,False,0,5,-0.5249732131854635,9.719324300862802,46.59783687376547
2022-02-21,Electronic City,Hosur Road,19107,0.6346927898105392,-2.2645067687703877,58.64864899611615,0.4693948713238731,0.3025495800633343,88.214,-1.419427714737958,0.0522075034555016,-0.942246901082076,-0.6936428216203698,No,0,2,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0,9.857862374509851,0,True,False,False,False,False,0,5,-0.5249732131854635,9.494014423030425,44.08372858671154
2022-02-25,Electronic City,Hosur Road,25746,-0.0406621633272856,0.752807149017749,77.68574769443936,0.4806770174489679,2.4152740245379025,101.492,-0.0862543545899117,1.4988838173908234,-1.4818496220554054,-0.394815148811994,No,0,2,4,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,10.156073394450296,0,False,True,False,False,False,0,5,3.693696420830096,9.859222136238111,72.5904704211313
2022-03-01,Electronic City,Hosur Road,12665,-0.7265494926157217,-0.0329546122011258,35.154598044222254,-1.4470555795498845,0.3025495800633343,75.33,0.4600906400232425,0.9051357398547994,1.6757922264111935,1.9143077774345467,No,0,3,1,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0,9.446676517076376,0,True,False,False,False,False,0,5,-0.5249732131854635,9.97506375102535,80.76533316352445
2022-03-03,Electronic City,Hosur Road,24733,0.5604554885234772,-1.4545486063575273,86.50396733281596,0.4806770174489679,-0.4016919014281884,99.466,-0.6291470564688482,-1.1433849976062025,-0.833639066095076,-0.394815148811994,No,0,3,3,1.0,6.123233995736766e-17,0.4338837391175582,-0.900968867902419,0,10.115934094302002,0,True,False,False,False,False,0,5,-0.5249732131854635,10.302464994508735,89.75682163764355
2022-03-04,Electronic City,Hosur Road,17452,2.4098365025812285,0.0953011467523697,65.65540925465754,-0.3725939892622787,-1.105933382919711,84.904,1.1929923834770415,1.4242593551140297,1.1018271156762045,-0.6121443653999037,No,0,3,4,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0,9.767266832624836,0,False,False,True,False,False,0,5,-0.5249732131854635,9.807857321520878,60.05203200521432
